,Rank,Name,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Height,Weight
3083,3084,Priest Lauderdale,74,7.1,1.4,2.9,0.47200000000000003,0.0,0.0,0.0,0.7,1.2,0.5539999999999999,1.1,1.4,0.6,1.4,1.9,0.4,0.1,0.4,3.4,223.52,155.582056
3084,3085,Justin Reed,137,10.5,1.3,3.1,0.40399999999999997,0.0,0.0,0.0,0.9,1.2,0.752,0.6,1.6,0.6,0.8,1.4,0.5,0.2,0.1,3.4,203.2,108.86208
3087,3088,Travis Knight,371,12.3,1.4,3.2,0.43799999999999994,0.0,0.2,0.259,0.6,0.8,0.696,0.7,2.2,1.2,1.9,3.1,0.6,0.4,0.6,3.4,213.36,106.59411999999999
3092,3093,Gigi Datome,55,8.1,1.4,3.4,0.414,0.5,1.4,0.316,0.2,0.2,0.818,0.4,0.6,0.3,1.1,1.4,0.4,0.1,0.1,3.4,203.2,97.52228000000001
3093,3094,Daniel Santiago,122,11.6,1.3,2.7,0.469,0.0,0.0,0.0,0.9,1.3,0.685,0.7,1.9,0.6,1.5,2.1,0.3,0.3,0.4,3.4,215.9,116.119552
3098,3099,Marcus Brown,27,8.5,1.2,3.1,0.381,0.5,1.4,0.33299999999999996,0.6,0.8,0.7140000000000001,0.6,1.3,0.3,0.6,0.8,0.9,0.3,0.1,3.4,190.5,83.91452
3101,3102,Milton Doyle,10,12.5,1.3,4.7,0.27699999999999997,0.4,2.3,0.174,0.4,0.8,0.5,0.2,1.3,0.3,1.5,1.8,1.0,0.6,0.2,3.4,193.04,81.64656
3104,3105,Salah Mejri,204,11.9,1.4,2.3,0.603,0.1,0.2,0.293,0.6,1.0,0.59,0.6,1.9,1.3,2.7,4.0,0.5,0.4,0.9,3.4,218.44,111.13004
3105,3106,Terence Morris,139,13.9,1.5,3.7,0.40700000000000003,0.2,0.8,0.196,0.2,0.3,0.711,0.6,0.9,0.9,1.8,2.7,0.7,0.3,0.4,3.4,205.74,100.243832
3107,3108,Daniel Ewing,127,13.3,1.3,3.3,0.389,0.3,1.0,0.295,0.6,0.7,0.78,0.8,1.2,0.3,1.0,1.2,1.4,0.5,0.1,3.4,190.5,83.91452
3109,3110,Mike Harris,54,9.2,1.3,2.8,0.46399999999999997,0.0,0.1,0.0,0.8,1.0,0.782,0.6,1.3,0.9,1.2,2.1,0.2,0.5,0.2,3.4,198.12,108.86208
3114,3115,Joe Young,127,8.5,1.3,3.4,0.39299999999999996,0.3,1.1,0.29600000000000004,0.4,0.5,0.768,0.5,0.6,0.1,0.9,1.0,0.9,0.3,0.0,3.4,187.96,81.64656
3118,3119,Justin Williams,49,9.3,1.4,2.4,0.573,0.0,0.0,0.0,0.6,1.8,0.348,0.4,1.4,1.4,1.9,3.3,0.0,0.2,0.4,3.4,208.28,104.32616
3124,3125,Maciej Lampe,64,9.9,1.5,3.6,0.40700000000000003,0.0,0.1,0.25,0.4,0.6,0.6759999999999999,0.5,1.3,0.6,1.6,2.2,0.3,0.1,0.2,3.4,210.82,108.86208
3125,3126,George Zidek,135,9.8,1.2,2.9,0.408,0.0,0.0,0.25,1.0,1.2,0.7829999999999999,0.5,1.8,0.8,1.3,2.1,0.2,0.1,0.1,3.4,213.36,119.74828799999999
3127,3128,Aaron Gray,318,12.1,1.4,2.7,0.509,0.0,0.0,0.0,0.6,1.0,0.562,0.8,2.1,1.4,2.4,3.7,0.7,0.3,0.3,3.4,213.36,122.46983999999999
3129,3130,DaJuan Summers,83,9.9,1.2,3.2,0.384,0.3,1.0,0.36700000000000005,0.5,0.8,0.642,0.4,1.3,0.3,0.7,1.0,0.3,0.2,0.1,3.3,203.2,108.86208
3132,3133,Mark Hendrickson,114,13.3,1.2,2.8,0.41600000000000004,0.0,0.2,0.16699999999999998,1.0,1.2,0.8029999999999999,0.6,1.2,0.9,1.9,2.8,0.6,0.4,0.1,3.3,205.74,99.79024
3135,3136,Armon Johnson,47,8.5,1.4,3.1,0.45799999999999996,0.1,0.3,0.4,0.4,0.6,0.679,0.9,0.9,0.3,0.8,1.0,1.2,0.2,0.0,3.3,190.5,88.45044
3137,3138,Royal Ivey,492,12.5,1.3,3.1,0.406,0.3,0.9,0.361,0.5,0.7,0.706,0.5,1.5,0.3,0.8,1.1,1.0,0.5,0.1,3.3,190.5,90.7184
